"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Noah Brown","HOU","25.3","390.7","2.1","0.3","0.8","0.0","0.1","76.8"
"Cedrick Wilson Jr.","NO","24.7","308.5","2.6","0.3","2.3","0.0","0.1","71.2"
"Devontez Walker","BAL","25.4","311.1","2.3","0.0","3.5","0.0","0.1","70.5"
"Alec Pierce","IND","22.7","340.9","2.0","0.0","1.0","0.0","0.0","68.6"
"Nelson Agholor","BAL","24.3","306.1","2.3","0.0","2.0","0.0","0.2","68.3"
"Van Jefferson","PIT","24.2","326.2","1.9","0.0","4.0","0.0","0.1","68.3"
"A.T. Perry","NO","21.4","317.1","2.4","0.3","2.0","0.0","0.0","67.5"
"Tre Tucker","LV","25.6","305.0","1.6","0.0","11.7","0.0","0.2","66.8"
"Cedric Tillman","CLE","24.1","303.3","1.9","0.0","1.7","0.0","0.1","65.9"
"K.J. Osborn","NE","24.3","292.9","1.7","0.0","2.0","0.0","0.1","63.5"
"KaVontae Turpin","DAL","17.8","210.0","2.6","8.7","66.9","0.4","0.4","62.5"
"Jonathan Mingo","CAR","23.5","287.6","1.5","0.0","2.7","0.0","0.1","61.2"
"Trenton Irwin","CIN","22.2","277.9","1.8","0.0","1.5","0.0","0.1","61.1"
"Kalif Raymond","DET","22.3","269.7","1.6","2.3","22.4","0.1","0.2","61.0"
"Javon Baker","NE","22.5","268.6","1.8","0.0","9.5","0.0","0.0","60.8"
"JuJu Smith-Schuster","NE","24.1","267.0","1.5","0.0","2.0","0.0","0.0","59.9"
"Treylon Burks","TEN","21.0","279.7","1.3","1.8","14.4","0.0","0.6","57.6"
"Andrei Iosivas","CIN","21.4","244.8","1.9","0.0","2.0","0.0","0.1","57.4"
"Robert Woods","HOU","22.2","242.4","1.4","1.0","5.7","0.0","0.0","55.4"
"Calvin Austin III","PIT","20.6","235.6","1.2","4.5","31.9","0.1","0.1","54.9"
"Parker Washington","JAC","21.0","223.7","1.6","0.0","4.0","0.0","0.0","53.6"
"Brandon Johnson","DEN","15.7","211.5","2.5","0.0","3.7","0.0","0.0","52.0"
"Tutu Atwell","LAR","18.4","242.2","1.2","2.2","14.1","0.1","0.1","51.8"
"Brenden Rice","LAC","20.0","246.0","1.0","0.0","6.0","0.0","0.0","51.2"
"Brandon Powell","MIN","21.1","207.9","1.3","1.9","14.7","0.0","0.1","51.1"
"Xavier Gipson","NYJ","17.9","202.6","1.5","4.6","32.5","0.2","0.1","50.9"
