"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Christian Watson","GB","53.8","781.3","7.2","4.8","26.4","0.4","0.5","124.8"
"Jordan Addison","MIN","68.0","874.2","6.3","0.3","4.0","0.0","0.5","124.5"
"Keenan Allen","CHI","80.6","900.3","5.6","1.0","6.1","0.0","1.0","122.3"
"Xavier Worthy","KC","57.6","844.9","6.0","3.3","20.0","0.1","0.8","121.2"
"Diontae Johnson","CAR","70.0","872.7","5.6","1.0","7.0","0.0","0.6","120.6"
"Rashee Rice","KC","68.7","812.5","6.2","1.5","6.8","0.0","0.9","117.7"
"Rome Odunze","CHI","62.3","846.6","5.3","1.0","6.0","0.0","1.1","115.1"
"Courtland Sutton","DEN","62.6","805.1","5.9","0.0","1.2","0.0","1.3","113.3"
"Brian Thomas Jr.","JAC","62.7","825.3","5.0","0.7","5.8","0.0","1.1","110.9"
"Ladd McConkey","LAC","66.1","822.1","4.8","1.1","6.7","0.0","0.8","110.3"
"Mike Williams","NYJ","58.7","787.5","5.2","2.3","9.2","0.0","0.5","110.2"
"Tyler Lockett","SEA","68.2","787.9","5.2","0.0","1.2","0.0","0.5","109.0"
"Jameson Williams","DET","51.8","727.8","4.5","4.5","41.4","0.7","0.6","107.2"
"Jaxon Smith-Njigba","SEA","70.3","769.6","5.1","0.0","2.0","0.0","0.6","106.8"
"Keon Coleman","BUF","57.9","773.2","5.2","0.7","4.5","0.0","1.1","106.7"
"Jerry Jeudy","CLE","59.5","815.2","4.2","0.3","4.5","0.0","0.6","106.3"
"Brandin Cooks","DAL","56.9","696.6","5.4","4.0","23.1","0.1","0.5","103.9"
"Gabe Davis","JAC","48.3","723.3","5.4","0.3","1.3","0.0","0.9","103.2"
"Jakobi Meyers","LV","64.1","727.4","4.7","1.8","12.5","0.3","0.5","102.4"
"Joshua Palmer","LAC","59.5","753.9","4.6","0.3","2.8","0.0","0.8","101.8"
"Romeo Doubs","GB","55.1","682.2","5.6","0.0","1.5","0.0","0.5","100.7"
"Rashid Shaheed","NO","50.6","731.9","4.2","4.3","33.3","0.0","0.9","100.4"
"Khalil Shakir","BUF","56.9","737.1","4.4","0.3","4.0","0.0","0.2","100.3"
"Curtis Samuel","BUF","58.0","617.9","4.2","11.0","66.5","0.8","0.5","97.2"
"DeMario Douglas","NE","58.1","704.9","3.1","10.0","50.1","0.2","1.2","92.7"
"Adam Thielen","CAR","67.3","679.7","4.2","0.3","2.5","0.0","0.6","92.4"
"Darnell Mooney","ATL","46.1","642.3","4.0","2.1","11.7","0.1","0.2","89.5"
"Xavier Legette","CAR","50.7","656.3","3.5","2.8","17.5","0.1","0.8","87.4"
"Demarcus Robinson","LAR","46.2","592.0","4.4","0.3","7.8","0.0","0.6","85.2"
"Jahan Dotson","WAS","48.8","599.6","4.2","0.0","2.5","0.0","0.5","84.5"
"Kendrick Bourne","NE","49.4","597.6","3.8","2.3","15.8","0.0","0.5","83.4"
"Dontayvion Wicks","GB","43.0","575.2","4.4","0.3","4.3","0.0","0.5","83.4"
"Adonai Mitchell","IND","46.1","629.3","3.6","0.7","4.8","0.0","0.8","83.2"
"Wan'Dale Robinson","NYG","60.3","571.4","2.9","8.1","58.4","0.5","0.5","82.0"
"Josh Downs","IND","55.4","632.0","3.2","0.0","5.0","0.0","0.5","82.0"
"Jermaine Burton","CIN","45.9","591.4","3.8","1.0","5.7","0.0","0.4","81.9"
"Rashod Bateman","BAL","45.6","599.1","3.5","0.3","4.8","0.0","0.2","81.1"
"Marvin Mims Jr.","DEN","45.9","595.3","2.8","6.2","33.5","0.2","0.3","79.9"
