"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"D'Onta Foreman","CLE","99.4","374.9","2.8","9.7","78.4","0.6","0.4","74.6"
"Braelon Allen","NYJ","100.5","385.1","2.7","10.0","78.0","0.5","0.8","73.6"
"Kenneth Gainwell","PHI","75.6","287.5","2.2","17.7","124.2","0.5","1.2","72.3"
"Keaton Mitchell","BAL","68.9","316.1","2.3","12.0","95.4","0.6","0.7","69.2"
"Kimani Vidal","LAC","42.6","313.5","1.9","14.0","100.1","0.2","0.1","67.4"
"Jamaal Williams","NO","90.4","329.6","2.3","13.2","73.2","0.1","0.5","67.1"
"Dameon Pierce","HOU","86.6","345.7","2.4","9.9","72.4","0.2","0.5","66.0"
"Miles Sanders","CAR","90.1","327.2","1.6","14.7","89.5","0.1","1.2","64.3"
"Jaylen Wright","MIA","58.0","267.2","2.2","11.5","96.1","0.7","0.8","63.7"
"Tank Bigsby","JAC","94.9","313.3","3.1","7.9","54.2","0.2","2.2","60.2"
"Samaje Perine","DEN","39.0","169.2","1.0","19.2","149.4","0.6","1.1","58.8"
"Audric Estime","DEN","71.5","272.7","1.8","10.2","78.2","0.5","0.8","57.5"
"Justice Hill","BAL","54.4","219.9","1.5","13.9","103.5","0.4","0.8","56.4"
"Chase Edmonds","TB","55.5","199.5","1.2","13.7","95.4","0.2","0.1","51.1"
"AJ Dillon","GB","51.3","224.1","1.7","8.6","75.2","0.1","0.4","48.6"
"Deuce Vaughn","DAL","38.7","154.9","1.2","11.8","87.2","0.6","0.4","45.5"
"Eric Gray","NYG","37.5","180.9","1.4","10.5","72.0","0.2","0.1","45.1"
"Will Shipley","PHI","33.3","195.9","1.6","7.3","56.4","0.4","0.1","44.6"
"Ty Johnson","BUF","27.1","139.5","0.9","11.8","99.2","0.6","0.2","44.0"
"Emari Demercado","ARI","25.7","130.0","1.0","14.3","95.5","0.3","0.5","43.9"
"Trey Sermon","IND","44.4","228.5","1.2","6.5","44.8","0.1","0.1","41.5"
"Dylan Laube","LV","41.3","171.1","1.1","8.7","62.1","0.2","0.1","39.4"
"Isaiah Davis","NYJ","65.4","193.4","1.4","5.9","44.0","0.2","0.1","38.9"
"Rasheen Ali","BAL","26.4","158.3","1.5","6.6","51.6","0.1","0.0","37.0"
"Kyle Juszczyk","SF","5.6","19.1","0.1","13.9","132.8","1.0","0.0","35.9"
"Emani Bailey","KC","0.0","157.0","1.0","8.0","60.0","0.0","0.0","35.7"
"Evan Hull","IND","34.5","144.1","1.0","7.9","55.5","0.3","0.2","35.1"
"Ameer Abdullah","LV","27.0","102.5","0.2","12.9","95.1","0.2","0.1","35.0"
"Isaac Guerendo","SF","29.9","167.3","1.3","5.2","43.0","0.1","0.0","34.4"
"Cordarrelle Patterson","PIT","22.4","110.9","0.8","9.0","67.7","0.3","0.1","33.3"
"Chris Rodriguez Jr.","WAS","14.5","133.6","0.9","7.4","52.4","0.2","0.1","32.2"
"Jase McClellan","ATL","33.0","134.0","1.0","5.5","43.8","0.4","0.0","31.7"
"Michael Carter","ARI","25.9","113.9","0.8","8.8","57.5","0.1","0.1","31.4"
"Kendall Milton","PHI","34.0","146.0","2.0","2.0","25.0","0.0","0.0","31.1"
"Nyheim Hines","CLE","22.8","69.4","0.5","10.7","79.8","0.2","0.1","30.0"
"Andrew Beck","HOU","3.7","9.5","0.7","9.9","87.8","1.5","1.5","29.6"
"DeWayne McBride","MIN","0.0","147.0","1.0","5.0","36.0","0.0","0.0","29.3"
"Isaiah Spiller","LAC","42.1","134.0","0.9","4.8","31.0","0.1","0.0","27.4"
"Trayveon Williams","CIN","23.5","101.6","0.7","6.8","43.5","0.2","0.2","26.6"
"Jawhar Jordan","HOU","0.0","134.0","1.0","4.0","30.0","0.0","0.0","26.4"
"Deneric Prince","KC","29.3","126.1","0.7","4.4","31.5","0.2","0.0","25.6"
"Dillon Johnson","CAR","0.0","126.0","1.0","4.0","26.0","0.0","0.0","25.2"
"D'Ernest Johnson","JAC","31.8","114.1","0.5","5.5","39.2","0.1","0.1","24.4"
"Ronnie Rivers","LAR","27.2","112.3","0.7","4.6","34.0","0.1","0.0","23.9"
"Blake Watson","DEN","0.0","108.0","1.0","4.0","29.0","0.0","0.0","23.7"
