"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Brian Robinson Jr.","WAS","184.5","762.6","5.3","29.2","247.4","1.8","1.5","140.8"
"Tony Pollard","TEN","189.5","809.4","5.6","33.5","231.0","0.8","0.9","140.6"
"Devin Singletary","NYG","196.5","857.3","5.0","33.4","216.1","0.7","1.0","139.3"
"Javonte Williams","DEN","196.4","802.8","4.5","39.2","234.3","1.5","0.9","138.2"
"Gus Edwards","LAC","187.2","798.8","7.1","16.2","140.5","0.4","1.3","136.2"
"Nick Chubb","CLE","179.5","829.3","5.8","19.7","156.9","0.6","0.9","135.8"
"Ezekiel Elliott","DAL","180.5","701.8","6.2","31.8","211.2","1.3","1.0","134.6"
"Jaylen Warren","PIT","145.2","696.2","3.9","48.4","329.7","1.7","1.4","133.7"
"Tyjae Spears","TEN","144.1","612.9","3.6","43.7","338.6","1.5","0.9","124.1"
"Austin Ekeler","WAS","124.4","516.9","4.1","46.7","373.4","2.0","1.7","122.6"
"Chase Brown","CIN","116.5","530.4","3.4","34.8","286.6","1.8","0.5","111.9"
"Jerome Ford","CLE","147.3","566.5","3.7","29.6","210.1","1.7","0.8","108.2"
"Ty Chandler","MIN","142.6","586.7","4.4","20.4","149.7","0.6","0.8","102.1"
"Tyler Allgeier","ATL","133.2","550.6","3.8","21.3","169.4","1.2","0.8","100.5"
"J.K. Dobbins","LAC","130.3","531.0","3.6","22.9","172.7","1.5","0.9","99.2"
"Trey Benson","ARI","131.4","568.5","3.9","19.4","141.6","0.9","1.5","96.5"
"Blake Corum","LAR","128.9","542.6","4.1","19.7","152.4","0.7","1.5","95.7"
"Zach Charbonnet","SEA","114.9","503.8","3.0","33.3","224.7","0.8","0.8","94.3"
"Rico Dowdle","DAL","144.1","533.9","3.5","18.8","143.5","1.0","0.4","93.8"
"Antonio Gibson","NE","116.9","445.5","2.3","37.6","283.9","1.2","1.4","91.4"
"Jaleel McLaughlin","DEN","107.8","504.1","2.8","26.0","166.3","0.9","0.8","88.0"
"Chuba Hubbard","CAR","121.4","505.6","3.3","22.4","153.7","0.5","0.8","87.2"
"Kendre Miller","NO","98.3","397.7","2.7","24.2","190.4","1.1","0.8","80.2"
"MarShawn Lloyd","GB","101.7","416.5","3.1","18.3","142.2","1.0","1.1","78.4"
"Khalil Herbert","CHI","105.9","447.3","2.7","12.9","89.4","0.7","0.8","72.2"
"Alexander Mattison","LV","105.2","405.9","2.7","13.9","93.5","1.0","0.9","70.0"
"Ray Davis","BUF","87.1","370.4","2.9","15.9","130.6","0.6","1.2","68.4"
"Clyde Edwards-Helaire","KC","80.0","316.4","2.1","20.7","171.7","1.2","0.5","67.7"
"Elijah Mitchell","SF","98.3","402.6","3.2","9.2","59.4","0.2","0.7","64.7"
"Bucky Irving","TB","96.5","363.4","2.5","13.5","109.2","0.7","1.1","64.2"
"Braelon Allen","NYJ","100.5","385.3","2.7","10.0","78.0","0.5","0.8","63.4"
"D'Onta Foreman","CLE","94.2","357.8","2.6","9.4","76.5","0.6","0.4","62.2"
"Tyrone Tracy Jr.","NYG","97.2","361.5","2.2","14.7","107.7","0.5","1.1","60.6"
"Roschon Johnson","CHI","75.9","289.5","2.3","21.1","138.8","0.6","0.5","58.9"
"Keaton Mitchell","BAL","68.9","316.1","2.3","12.0","95.4","0.6","0.7","57.3"
"Kenneth Gainwell","PHI","75.6","287.6","2.2","17.7","124.2","0.5","1.2","54.6"
"Dameon Pierce","HOU","82.5","334.0","2.3","9.4","68.6","0.1","0.5","54.1"
"Jamaal Williams","NO","90.4","329.6","2.3","13.2","73.0","0.1","0.5","53.9"
"Tank Bigsby","JAC","95.0","313.3","3.1","7.9","54.2","0.2","2.2","52.3"
"Jaylen Wright","MIA","58.0","267.2","2.2","11.5","96.1","0.7","0.8","52.3"
"Samaje Perine","DEN","52.1","211.8","1.2","26.2","201.2","0.8","1.2","51.1"
"Miles Sanders","CAR","88.1","320.9","1.6","14.4","89.2","0.1","1.2","48.9"
"Kimani Vidal","LAC","16.7","260.0","1.7","13.0","93.2","0.1","0.0","45.8"
"AJ Dillon","GB","56.9","240.6","1.8","9.7","83.5","0.1","0.4","43.3"
"Justice Hill","BAL","54.4","219.8","1.5","13.9","103.5","0.4","0.8","42.5"
"Chase Edmonds","TB","55.5","199.5","1.2","14.7","102.9","0.2","0.1","38.4"
"Will Shipley","PHI","35.4","201.8","1.6","7.3","56.4","0.4","0.1","38.1"
