Rank,Name,Team,Pos,Fantrax,Sleeper,MFL,Sleeper,MFL,Ottoneu,Status,Injury
T280,Jaylon Ferguson,FA,LB,-,-,-,-,,,,
T280,Evan Berry,FA,WR,-,-,-,-,,,,
T280,Chase Winovich,FA,LB,-,-,-,-,,,,
T280,Bo Scarbrough,FA,RB,-,-,-,-,,,,
T280,Devlin Hodges,FA,QB,-,-,-,-,,,,
T280,Ryan Nall,FA,FB,-,-,-,-,,,,
T280,Damien Harris,FA,RB,-,-,-,394.00,,8.50,,
T280,Khari Willis,FA,S,-,-,-,-,,,,
T280,Robert Windsor,FA,DT,-,-,-,-,,,,
T280,Ben Ellefson,FA,TE,-,-,-,-,,,,
T280,James Skalski,FA,LB,-,-,-,-,,,,
T280,Brandon Brown-Dukes,FA,RB,-,-,-,-,,,,
T280,Justin Crawford,FA,RB,-,-,-,-,,,,
T280,Antonio Gandy-Golden,FA,TE,-,-,-,-,,,,
T280,Malcolm Perry,FA,WR,-,-,-,-,,,,
T280,Tre Nixon,FA,WR,-,-,-,-,,,,
T280,Michael Warren,FA,RB,-,-,-,-,,,Ques,Undisclosed
T280,TJ Pledger,FA,RB,-,-,-,-,,,,
T280,Jessie Lemonier,FA,LB,-,-,-,-,,,,
T280,C.J. Johnson,FA,WR,-,-,-,-,,,,
T280,Khyree Jackson,FA,CB,-,-,-,-,,,,
T280,Jalen Berger,FA,RB,-,-,-,-,,,,
