Rank,Name,Team,Pos,Fantrax,Sleeper,MFL,Sleeper,MFL,Ottoneu,Status,Injury
T280,Patrick O'Connor,FA,DE,-,-,-,-,,,,
T280,Landon Collins,FA,LB,-,-,-,-,,,,
T280,Kenyan Drake,FA,RB,-,-,-,-,,,,
T280,Reggie Ragland,FA,LB,-,-,-,-,,,Ques,Shoulder
T280,Dalvin Tomlinson,CLE,DT,-,-,-,-,,,PUP-P,Knee
T280,Jonathan Bullard,MIN,DE,-,-,-,-,,,,
T280,Dante Fowler,WAS,DE,-,-,-,-,,,,
T280,Marcus Maye,MIA,S,-,-,-,-,,,,
T280,Kent Taylor,FA,TE,-,-,-,-,,,,
T280,Colin Thompson,FA,TE,-,-,-,-,,,,
T280,Todd Gurley,FA,RB,-,-,-,-,,,,
T280,Quayvon Hicks,FA,FB,-,-,-,-,,,,
T280,Cody Core,FA,WR,-,-,-,-,,,Ques,Undisclosed
T280,Mike Hilton,CIN,CB,-,-,-,-,1.59,,,
T280,Brandon Williams,FA,DT,-,-,-,-,,,,
T280,Jeff Heath,FA,S,-,-,-,-,,,,
T280,Ken Crawley,FA,CB,-,-,-,-,,,,
T280,Josh Tupou,BAL,DT,-,-,-,-,,,,
T280,Eric Saubert,SF,TE,-,-,-,-,,,,
T280,Brandin Bryant,FA,DT,-,-,-,-,,,,
T280,Sharrod Neasman,FA,S,-,-,-,-,,,Ques,Undisclosed
T280,Ricky Ortiz,FA,FB,-,-,-,-,,,,
T280,Cory Littleton,FA,LB,-,-,-,-,,,,
T280,Jaydon Mickens,FA,WR,-,-,-,-,,,,
T280,Shaq Thompson,CAR,LB,-,-,-,-,4.35,,,
T280,Joe Schobert,FA,LB,-,-,-,-,,,,
T280,Devin Fuller,FA,WR,-,-,-,-,,,,
T280,Fabian Moreau,FA,CB,-,-,-,-,,,,
T280,Nelson Agholor,BAL,WR,-,-,-,-,,11.00,,
T280,Kevon Seymour,FA,CB,-,-,-,-,,,,
T280,Leonard Williams,SEA,DE,-,-,-,-,,,,
T280,Kamu Grugier-Hill,MIN,LB,-,-,-,-,,,,
T280,Trevor Knight,FA,QB,-,-,-,-,,,,
T280,Sterling Shepard,TB,WR,-,-,-,-,,,,
T280,Damien Williams,FA,RB,-,-,-,-,,,Ques,Foot
T280,Emmanuel Ogbah,MIA,LB,-,-,-,-,,,,
T280,Kevin Peterson,FA,CB,-,-,-,-,,,,
T280,Adrian Colbert,CHI,S,-,-,-,-,,,,
T280,Marcus Johnson,FA,WR,-,-,-,-,,,,
T280,Cayleb Jones,FA,WR,-,-,-,-,,,,
T280,Hassan Ridgeway,FA,DT,-,-,-,-,,,Ques,Achilles
T280,Justin Simmons,FA,S,-,-,-,-,,,,
T280,Ross Martin,FA,K,-,-,-,-,,,,
T280,Ronald Darby,JAX,CB,-,-,-,-,,,,
T280,Eddie Goldman,ATL,DT,-,-,-,-,,,,
T280,P.J. Williams,FA,S,-,-,-,-,,,,
T280,Jameis Winston,CLE,QB,-,-,-,-,,7.50,,
T280,Adam Gotsis,JAX,DE,-,-,-,-,,,,
T280,Deon Bush,KC,S,-,-,-,-,,,,
T280,Rayshawn Jenkins,SEA,S,-,-,-,-,3.66,,,
T280,Trey Edmunds,FA,RB,-,-,-,-,,,,
T280,Justin Hardee,CLE,CB,-,-,-,-,,,,
T280,C.J. Beathard,JAX,QB,-,-,-,-,,,,
T280,Jaleel Johnson,FA,DT,-,-,-,-,,,,
T280,Greg Mabin,FA,CB,-,-,-,-,,,,
T280,Joe Jones,FA,LB,-,-,-,-,,,Ques,Finger
T280,Dean Lowry,PIT,DE,-,-,-,-,,,PUP-P,Pectoral
T280,Ifeadi Odenigbo,FA,DE,-,-,-,-,,,Ques,Undisclosed
T280,Dan Vitale,FA,FB,-,-,-,-,,,,
T280,Eric Wilson,GB,LB,-,-,-,-,,,,
T280,Lamar Atkins,FA,FB,-,-,-,-,,,,
T280,Brandon Radcliff,FA,RB,-,-,-,-,,,,
T280,Sheldon Rankins,CIN,DT,-,-,-,-,,,,
T280,Anthony Brown,FA,CB,-,-,-,-,,,,
T280,J.P. Holtz,FA,TE,-,-,-,-,,,,
T280,Rushel Shell,FA,RB,-,-,-,-,,,,
T280,Nate Hairston,FA,CB,-,-,-,-,,,,
T280,Matt Ioannidis,FA,DT,-,-,-,-,,,Ques,Back
T280,Brandon Shippen,FA,WR,-,-,-,-,,,,
T280,Phazahn Odom,FA,TE,-,-,-,-,,,,
T280,Kalif Raymond,DET,WR,-,-,-,-,0.62,,,
T280,Aaron Peck,FA,TE,-,-,-,-,,,,
T280,Alex Barrett,SF,DE,-,-,-,-,,,,
T280,Damontae Kazee,PIT,S,-,-,-,-,,,,
T280,Vernon Butler,FA,DT,-,-,-,-,,,Ques,Undisclosed
T280,JoJo Natson,FA,WR,-,-,-,-,,,,
T280,Nick Vigil,FA,LB,-,-,-,-,,,,
T280,Zach Conque,FA,TE,-,-,-,-,,,,
T280,Paxton Lynch,FA,QB,-,-,-,-,,,,
T280,David Mayo,FA,LB,-,-,-,-,,,,
T280,Jalen Richard,FA,RB,-,-,-,-,,,,
T280,Kyle Sloter,FA,QB,-,-,-,-,,,,
T280,Josh Rounds,FA,RB,-,-,-,-,,,,
T280,Jeremy Sprinkle,FA,TE,-,-,-,-,,,Ques,Achilles
T280,Jonathan Williams,FA,RB,-,-,-,-,,,Ques,Concussion
T280,Deatrich Wise,NE,DE,-,-,-,-,,,,
T280,Joshua Perkins,FA,TE,-,-,-,-,,,,
T280,Marcus Peters,FA,CB,-,-,-,-,,,,
T280,Danny Shelton,FA,DT,-,-,-,-,,,,
T280,Tommylee Lewis,FA,WR,-,-,-,-,,,Ques,Hip
T280,Tim Semisch,FA,TE,-,-,-,-,,,,
T280,Jordan Phillips,NYG,DT,-,-,-,-,,,,
T280,James Bradberry,PHI,S,-,-,-,-,,,,
T280,J.D. McKissic,FA,RB,-,-,-,-,,10.00,Ques,Neck
T280,Robbie Chosen,FA,WR,-,-,-,-,,,,
T280,Riley Dixon,DEN,P,-,-,-,-,,,,
T280,Justin Hamilton,FA,DT,-,-,-,-,,,,
T280,Christian Ringo,FA,DT,-,-,-,-,,,,
T280,Ryan Smith,FA,CB,-,-,-,-,,,,
T280,Temarrick Hemingway,FA,TE,-,-,-,-,,,,
T280,Jalen Simmons,FA,RB,-,-,-,-,,,,
T280,Nick Boyle,FA,TE,-,-,-,-,,,,
T280,Alex Singleton,DEN,LB,-,-,-,-,,,,
T280,Stephen Houston,FA,RB,-,-,-,-,,,,
T280,Adrian Amos,FA,S,-,-,-,-,,,,
T280,Sam Ficken,FA,K,-,-,-,-,,,,
T280,Allen Robinson,NYG,WR,-,-,-,-,,5.00,,
T280,Charles Washington,FA,S,-,-,-,-,,,,
T280,Christian Covington,FA,DT,-,-,-,-,,,,
T280,Ty Long,FA,P,-,-,-,-,,,,
T280,Roy Robertson-Harris,JAX,DE,-,-,-,-,0.95,,,
T280,Jacob Huesman,FA,RB,-,-,-,-,,,,
T280,Matthias Farley,FA,S,-,-,-,-,,,,
T280,Austin Edwards,FA,DE,-,-,-,-,,,,
T280,Sam Eguavoen,NYJ,LB,-,-,-,-,,,,
T280,Jakeem Grant,FA,WR,-,-,-,-,,,,
T280,DeAndre Washington,FA,RB,-,-,-,-,,,,
T280,Quinton Jefferson,CLE,DT,-,-,-,-,,,Ques,Groin
T280,Denzel Perryman,LAC,LB,-,-,-,-,3.02,,,
T280,Eric Ebron,FA,TE,-,-,-,-,,,,
T280,Anthony Harris,FA,S,-,-,-,-,,,,
T280,Josh Ferguson,FA,RB,-,-,-,-,,,,
T280,Matt LaCosse,FA,TE,-,-,-,-,,,,
T280,Frank Clark,FA,LB,-,-,-,-,,,,
T280,Matt Wile,FA,P,-,-,-,-,,,,
T280,Devin Smith,FA,WR,-,-,-,-,,,,
T280,Nick Vannett,TEN,TE,-,-,-,-,,,,
T280,Reggie Begelton,FA,WR,-,-,-,-,,,,
T280,Josh Woodrum,FA,QB,-,-,-,-,,,,
T280,DeAndre Carter,CHI,WR,-,-,-,-,,,,
T280,Miles Killebrew,PIT,S,-,-,-,-,,,,
T280,Carson Wentz,KC,QB,-,-,-,-,,2.00,,
T280,Trevor Davis,FA,WR,-,-,-,-,,,,
T280,Tyrell Williams,FA,WR,-,-,-,-,,,Ques,Concussion
T280,Carl Nassib,FA,LB,-,-,-,-,,,,
T280,Ryan Anderson,FA,LB,-,-,-,-,,,,
T280,Keith Marshall,FA,RB,-,-,-,-,,,,
T280,Nathan Peterman,NO,QB,-,-,-,-,,,,
T280,Kwon Alexander,FA,LB,-,-,-,-,,,Ques,Achilles
T280,Travin Dural,FA,WR,-,-,-,-,,,,
T280,Danielle Hunter,HOU,LB,-,-,-,-,,,,
T280,Deion Jones,BUF,LB,-,-,-,-,,,,
T280,Jalen Mills,NYG,S,-,-,-,-,,,NFI-A,Undisclosed
T280,T.J. Yeldon,FA,RB,-,-,-,-,,,,
T280,Will Parks,FA,S,-,-,-,-,,,,
T280,Mitch Leidner,FA,QB,-,-,-,-,,,,
T280,Sam Cotton,FA,TE,-,-,-,-,,,,
T280,Eric Murray,HOU,S,-,-,-,-,,,,
T280,Maxx Williams,FA,TE,-,-,-,-,,,,
T280,Chase Hansen,FA,LB,-,-,-,-,,,,
T280,Alonzo Moore,FA,WR,-,-,-,-,,,,
T280,Donte Deayon,FA,CB,-,-,-,-,,,,
T280,DeMarcus Lawrence,DAL,DE,-,-,-,-,,,,
T280,Tyler Matakevich,PIT,LB,-,-,-,-,,,,
T280,Jarrod Wilson,FA,S,-,-,-,-,,,,
T280,Jesse James,FA,TE,-,-,-,-,,,,
T280,William Jackson,FA,CB,-,-,-,-,,,,
T280,Alex Erickson,FA,WR,-,-,-,-,,,,
T280,Bart Houston,FA,QB,-,-,-,-,,,,
T280,Denico Autry,HOU,DE,-,-,-,-,2.69,,,
T280,Gabe Marks,FA,WR,-,-,-,-,,,,
T280,D.J. Foster,FA,RB,-,-,-,-,,,,
T280,Breshad Perriman,FA,WR,-,-,-,-,,,,
T280,Mike Pennel,KC,DT,-,-,-,-,,,,
T280,Bradley Pinion,ATL,P,-,-,-,-,,,,
T280,Gerome Hopper,FA,WR,-,-,-,-,,,,
T280,Chad Kelly,FA,QB,-,-,-,-,,,,
T280,Shaq Lawson,FA,DE,-,-,-,-,,,,
T280,DJ Reader,DET,DT,-,-,-,-,,,PUP-P,Quadriceps
T280,Carlos Watkins,FA,DT,-,-,-,-,,,Ques,Biceps
222,Michael Thomas,FA,WR,237.00,-,-,349.50,0.78,17.58,Ques,Knee
T280,Brandon Williams,FA,CB,-,-,-,-,,,,
T280,Sheldon Day,FA,DT,-,-,-,-,,,,
T280,Derek Carrier,FA,TE,-,-,-,-,,,,
T280,Patrick Ricard,BAL,FB,-,-,-,-,,,,
T280,Dalton Crossan,FA,RB,-,-,-,-,,,,
T280,Zach Pascal,ARI,WR,-,-,-,-,,,,
T280,Reggie Diggs,FA,WR,-,-,-,-,,,,
T280,Robert Tonyan,MIN,TE,-,-,-,-,,10.00,,
T280,Ben Braunecker,FA,TE,-,-,-,-,,,,
T280,Jonathan Jones,NE,CB,-,-,-,-,,,,
T280,Will Redmond,FA,S,-,-,-,-,,,,
T280,Arik Armstead,JAX,DT,-,-,-,-,1.33,,PUP-P,Knee - Meniscus
T280,Pharaoh Brown,SEA,TE,-,-,-,-,,,,
T280,DeForest Buckner,IND,DT,-,-,-,-,,,,
T280,Markus Golden,FA,LB,-,-,-,-,,,,
T280,Alton Howard,FA,WR,-,-,-,-,,,,
T280,L.J. Collier,ARI,DE,-,-,-,-,,,Ques,Biceps
T280,Travin Howard,FA,LB,-,-,-,-,,,,
T280,Ty Summers,JAX,LB,-,-,-,-,,,,
T280,Wilton Speight,FA,QB,-,-,-,-,,,,
T280,Brandon Rusnak,FA,S,-,-,-,-,,,,
T280,Bryan Mone,FA,DT,-,-,-,-,,,Ques,Knee - ACL
T280,Darius Harris,FA,LB,-,-,-,-,,,,
T280,Richie James,FA,WR,-,-,-,-,,,,
T280,Nick Fitzgerald,FA,QB,-,-,-,-,,,,
T280,Taylor Russolino,FA,K,-,-,-,-,,,,
T280,Isaiah McKenzie,NYG,WR,-,-,-,-,,8.50,,
T280,Sony Michel,FA,RB,-,-,-,-,,,Reserve-Ret,Personal
T280,M.J. Stewart,HOU,S,-,-,-,-,,,,
T280,Garrett Hudson,FA,TE,-,-,-,-,,,,
T280,Austin Proehl,FA,WR,-,-,-,-,,,Ques,Undisclosed
T280,Mason Rudolph,TEN,QB,-,-,-,-,,5.00,,
T280,Devonte Boyd,FA,WR,-,-,-,-,,,,
T280,Nick Bawden,NYJ,FB,-,-,-,-,,,PUP-P,Undisclosed
T280,Austin Fort,FA,TE,-,-,-,-,,,,
T280,Brian Hill,FA,RB,-,-,-,-,,,,
255,Dalvin Cook,FA,RB,273.00,-,-,245.00,1.02,33.00,,
T280,Trey Marshall,FA,S,-,-,-,-,,,,
T280,A.J. Richardson,FA,WR,-,-,-,403.00,,,,
T280,Matt Sokol,FA,TE,-,-,-,-,,,,
T280,Isaac Yiadom,SF,CB,-,-,-,-,,,,
T280,Harold Landry,TEN,LB,-,-,-,-,2.62,,,
T280,Kaare Vedvik,FA,K,-,-,-,-,,,,
T280,Andrew Beck,HOU,FB,-,-,-,-,,,PUP-P,Calf
T280,Redford Jones,FA,K,-,-,-,-,,,,
T280,Tony Brown,CLE,CB,-,-,-,-,,,,
T280,Jarran Reed,SEA,DT,-,-,-,-,,,,
T280,Cam Sims,CAR,WR,-,-,-,-,,,PUP-R,Undisclosed
T280,Alex McGough,GB,WR,-,-,-,-,,,IR,Undisclosed
T280,Ahkello Witherspoon,FA,CB,-,-,-,-,,,,
T280,Marcus Williams,BAL,S,-,-,-,-,,,,
T280,Josh Watson,FA,LB,-,-,-,-,,,,
T280,C.J. Goodwin,DAL,CB,-,-,-,-,,,,
T280,Nsimba Webster,CHI,WR,-,-,-,-,,,,
T280,Andrew Brown,FA,DT,-,-,-,-,,,,
T280,B.J. Hill,CIN,DT,-,-,-,-,,,,
T280,Stephen Louis,FA,WR,-,-,-,-,,,,
T280,Germaine Pratt,CIN,LB,-,-,-,-,,,,
T280,Geronimo Allison,FA,WR,-,-,-,-,,,,
T280,Craig James,FA,CB,-,-,-,-,,,Ques,Undisclosed
T280,Freedom Akinmoladun,FA,DE,-,-,-,-,,,,
T280,Rodney Smith,FA,RB,-,-,-,-,,,,
T280,Luke Gifford,TEN,LB,-,-,-,-,,,,
T280,Chris Jones,FA,CB,-,-,-,-,,,,
T280,Josh Kalu,FA,S,-,-,-,-,,,,
T280,De'Mornay Pierson-El,FA,WR,-,-,-,-,,,,
T280,David Blough,FA,QB,-,-,-,-,,,,
T280,DeAndre Thompkins,FA,WR,-,-,-,-,,,Ques,Undisclosed
T280,Raekwon McMillan,NE,LB,-,-,-,-,,,,
T280,Leonard Fournette,FA,RB,-,-,-,-,,6.14,,
T280,Russell Gage,FA,WR,-,-,-,-,,,,
T280,Davon Godchaux,NE,DT,-,-,-,-,,,,
T280,Trey Quinn,FA,WR,-,-,-,-,,,,
T280,Darrel Williams,FA,RB,-,-,-,-,,,,
T280,Speedy Noil,FA,WR,-,-,-,-,,,,
T280,Kyle Allen,PIT,QB,-,-,-,-,,,,
T280,Robert Spillane,LV,LB,-,-,-,-,3.85,,,
T280,Jarvion Franklin,FA,RB,-,-,-,-,,,,
T280,Del'Shawn Phillips,HOU,LB,-,-,-,-,,,,
T280,Malik Reed,FA,LB,-,-,-,-,,,,
T280,Dontrell Hilliard,FA,RB,-,-,-,-,,,Ques,Neck
T280,Ben Banogu,FA,DE,-,-,-,-,,,,
T280,Marcus Green,FA,WR,-,-,-,-,,,,
T280,Ja'Whaun Bentley,NE,LB,-,-,-,-,,,,
T280,Cole Herdman,FA,TE,-,-,-,-,,,,
T280,Tyre Brady,FA,WR,-,-,-,-,,,,
T280,Darrius Shepherd,FA,WR,-,-,-,-,,,Ques,Undisclosed
T280,Easton Stick,LAC,QB,-,-,-,-,,5.00,,
T280,Stephen Baggett,FA,TE,-,-,-,-,,,,
T280,Matthew Adams,NYG,LB,-,-,-,-,,,,
T280,Isaiah Johnson,FA,CB,-,-,-,-,,,,
T280,Ryan Neal,FA,S,-,-,-,-,,,,
T280,Jaelon Acklin,FA,WR,-,-,-,-,,,,
T280,Khalen Saunders,NO,DT,-,-,-,-,,,,
T280,Solomon Thomas,NYJ,DE,-,-,-,-,,,,
T280,DeVonte Dedmon,FA,WR,-,-,-,-,,,,
T280,Cole Holcomb,PIT,LB,-,-,-,-,2.80,,PUP-P,Knee
T280,Malik Turner,SF,WR,-,-,-,-,,,,
T280,Jihad Ward,MIN,DE,-,-,-,-,,,,
T280,Ian Bunting,FA,TE,-,-,-,-,,,Ques,Neck
T280,Jabrill Peppers,NE,S,-,-,-,-,,,,
T280,Daurice Fountain,DET,WR,-,-,-,-,,,,
T280,Garrett Dickerson,FA,TE,-,-,-,-,,,,
T280,Justin Jackson,FA,RB,-,-,-,-,,,,
T280,Clayton Thorson,FA,QB,-,-,-,-,,,,
T280,Reggie Bonnafon,FA,RB,-,-,-,-,,,,
T280,Ethan Wolf,FA,TE,-,-,-,-,,,,
T280,Trent Harris,FA,LB,-,-,-,-,,,,
T280,Bobby Okereke,NYG,LB,-,-,-,-,,,,
T280,Harrison Phillips,MIN,DT,-,-,-,-,,,,
T280,Kaden Elliss,ATL,LB,-,-,-,-,,,,
T280,Jake Luton,FA,QB,-,-,-,-,,,Ques,Undisclosed
T280,Jamal Adams,TEN,S,-,-,-,-,,,,
T280,Trevion Thompson,FA,WR,-,-,-,-,,,,
T280,Nik Needham,MIA,CB,-,-,-,-,,,,
T280,Sergio Castillo,FA,K,-,-,-,-,,,,
T280,Derek Barnett,HOU,DE,-,-,-,-,,,,
T280,Taron Johnson,BUF,CB,-,-,-,-,,,,
T280,Keelan Doss,LV,WR,-,-,-,-,,,,
T280,Reggie White,FA,WR,-,-,-,-,,,,
T280,Jimmy Moreland,FA,CB,-,-,-,-,,,,
T280,Micah Wright,FA,WR,-,-,-,-,,,,
T280,Daniel Marx,FA,FB,-,-,-,-,,,,
T280,Jack Heneghan,FA,QB,-,-,-,-,,,,
T280,John Lovett,FA,FB,-,-,-,-,,,Ques,Undisclosed
T280,Justin Watson,KC,WR,-,-,-,-,,5.00,Ques,Foot
T280,Jaylen Samuels,FA,RB,-,-,-,-,,,,
T280,Kentavius Street,ATL,DT,-,-,-,-,,,,
T280,Jaeden Graham,FA,TE,-,-,-,-,,,Ques,Undisclosed
T280,Bradley Chubb,MIA,LB,-,-,-,-,4.45,,PUP-P,Knee - ACL
T280,Justin Jones,ARI,DT,-,-,-,-,,,,
T280,Adonis Jennings,FA,WR,-,-,-,-,,,,
T280,Avonte Maddox,PHI,CB,-,-,-,-,,,,
T280,Qadree Ollison,FA,RB,-,-,-,-,,,,
T280,Quincy Williams,NYJ,LB,-,-,-,-,,,,
276,Chase Edmonds,TB,RB,297.00,-,-,-,,5.00,Ques,Undisclosed
T280,Abdullah Anderson,FA,DT,-,-,-,-,,,,
T280,Olasunkanmi Adeniyi,FA,LB,-,-,-,-,,,,
T280,Cody Thompson,TB,WR,-,-,-,-,,,,
T280,Chandon Sullivan,FA,CB,-,-,-,-,,,,
T280,Jonathan Kongbo,FA,LB,-,-,-,-,,,,
T280,Andre Chachere,ARI,S,-,-,-,-,,,,
T280,Buddy Howell,FA,RB,-,-,-,-,,,,
T280,Greg Joseph,GB,K,-,-,-,-,,5.00,,
T280,Trevor Moore,FA,K,-,-,-,-,,,,
246,Jeff Wilson,MIA,RB,263.00,-,-,-,,9.80,,
T280,Tae Davis,CAR,LB,-,-,-,-,,,,
T280,Isaiah Mack,MIA,DT,-,-,-,-,,,,
T280,Keion Crossen,FA,CB,-,-,-,-,,,Ques,Leg
T280,Jahlani Tavai,NE,LB,-,-,-,-,,,,
T280,Jalen Davis,CIN,CB,-,-,-,-,,,,
T280,Ryan Izzo,FA,TE,-,-,-,-,,,,
T280,Derrick Nnadi,KC,DT,-,-,-,-,,,PUP-P,Triceps
T280,Oshane Ximines,NE,LB,-,-,-,-,,,,
T280,Xavier Turner,FA,RB,-,-,-,-,,,,
T280,Cornell Armstrong,LV,CB,-,-,-,-,,,,
T280,Mike Thomas,FA,WR,-,-,-,-,,,Ques,Shoulder - Labrum
T280,Jake Gervase,FA,LB,-,-,-,-,,,,
T280,Kevin Toliver,FA,CB,-,-,-,-,,,,
T280,Kalif Jackson,FA,TE,-,-,-,-,,,,
T280,Nick Brossette,FA,RB,-,-,-,-,,,,
T280,Derrick Dillon,FA,WR,-,-,-,-,,,,
T280,Jazz Ferguson,FA,WR,-,-,-,-,,,,
T280,Derrius Guice,FA,RB,-,-,-,-,,,,
T280,Donte Jackson,PIT,CB,-,-,-,-,,,,
T280,Tyron Johnson,DAL,WR,-,-,-,-,,,,
T280,Arden Key,TEN,LB,-,-,-,-,,,,
T280,Foster Moreau,NO,TE,-,-,-,-,0.54,,,
T280,D.J. Jones,DEN,DT,-,-,-,-,,,,
T280,Tommy Hudson,NO,TE,-,-,-,-,,,,
T280,Kareem Orr,FA,CB,-,-,-,-,,,,
T280,Bryce Perkins,FA,QB,-,-,-,-,,,,
T280,Nick Ralston,FA,FB,-,-,-,-,,,,
T280,Brian Cole,FA,S,-,-,-,-,,,,
T280,Mike Danna,KC,DE,-,-,-,-,,,,
T280,Xavier Crawford,FA,CB,-,-,-,-,,,,
T280,Lorenzo Carter,ATL,LB,-,-,-,-,,,,
T280,Cole Hedlund,FA,K,-,-,-,-,,,,
T280,Armon Watts,NE,DT,-,-,-,-,,,,
T280,DeMarquis Gates,FA,LB,-,-,-,-,,,,
T280,C.J. Moore,DET,S,-,-,-,-,,,,
T280,A.J. Moore,FA,S,-,-,-,-,,,,
T280,K.D. Cannon,FA,WR,-,-,-,-,,,,
T280,Allen Lazard,NYJ,WR,-,-,-,388.00,,13.64,,
T280,Willie Harvey,DAL,LB,-,-,-,-,,,,
T280,Elijah Lee,FA,LB,-,-,-,-,,,,
T280,Tim Patrick,DEN,WR,-,-,-,381.00,,7.00,,
T280,Vita Vea,TB,DT,-,-,-,-,,,,
T280,Devine Redding,FA,RB,-,-,-,-,,,,
T280,Tegray Scales,FA,LB,-,-,-,-,,,,
T280,Montez Sweat,CHI,DE,-,-,-,-,,,,
T280,Robert Martin,FA,RB,-,-,-,-,,,,
T280,Charles Scarff,FA,TE,-,-,-,-,,,,
T280,Genard Avery,IND,DE,-,-,-,-,,,,
T280,Sean Chandler,FA,S,-,-,-,-,,,,
T280,Michael Dogbe,FA,DE,-,-,-,-,,,,
T280,Jake Martin,CHI,DE,-,-,-,-,,,,
T280,Chris Myarick,FA,FB,-,-,-,-,,,,
T280,Jordan Akins,CLE,TE,-,-,-,-,,,,
T280,Jordan Franks,FA,TE,-,-,-,-,,,,
T280,Tre'Quan Smith,DET,WR,-,-,-,-,,,,
T280,Matthew Wright,PIT,K,-,-,-,-,,,,
T280,KeeSean Johnson,FA,WR,-,-,-,-,,,,
T280,Vincent Testaverde,FA,QB,-,-,-,-,,,,
265,D'Ernest Johnson,JAX,RB,284.00,-,-,-,,13.00,,
T280,DeShone Kizer,FA,QB,-,-,-,-,,,,
T280,Drue Tranquill,KC,LB,-,-,-,-,,,,
T280,Napoleon Maxwell,FA,RB,-,-,-,-,,,,
T280,Anthony Chesley,FA,CB,-,-,-,-,,,,
T280,Travis Fulgham,FA,WR,-,-,-,-,,,,
T280,Emmanuel Ellerbee,FA,LB,-,-,-,-,,,,
T280,Austin Walter,FA,RB,-,-,-,-,,,Ques,Undisclosed
T280,Sione Takitaki,NE,LB,-,-,-,-,,,PUP-P,Knee
T280,Fred Warner,SF,LB,-,-,-,-,,,,
T280,Daniel Wise,FA,DT,-,-,-,-,,,,
T280,Bilal Nichols,ARI,DT,-,-,-,-,,,,
T280,Andrew Van Ginkel,MIN,LB,-,-,-,-,,,Ques,Foot
T280,Marcus Epps,LV,S,-,-,-,-,,,,
T280,George Aston,FA,FB,-,-,-,-,,,,
T280,Kevin Rader,FA,TE,-,-,-,-,,,,
T280,Rashaad Penny,CAR,RB,-,-,-,392.40,,15.18,,
T280,Marlon Mack,FA,RB,-,-,-,-,,,Ques,Achilles
T280,Mazzi Wilkins,FA,CB,-,-,-,-,,,,
T280,Matt Dickerson,KC,DT,-,-,-,-,,,,
T280,Jacob Tuioti-Mariner,FA,LB,-,-,-,-,,,Ques,Knee
T280,Kenny Young,FA,LB,-,-,-,-,,,,
T280,Hunter Renfrow,FA,WR,-,-,-,395.00,,5.50,,
T280,Jonathan Brown,FA,K,-,-,-,-,,,,
T280,Mike Boone,CAR,RB,-,-,-,-,,,,
T280,Cortez Broughton,FA,DT,-,-,-,-,,,,
T280,Tremon Smith,DEN,CB,-,-,-,-,,,,
T280,D'Angelo Ross,HOU,CB,-,-,-,-,,,,
T280,Danny Johnson,FA,CB,-,-,-,-,,,,
T280,Ryan Yurachek,FA,FB,-,-,-,-,,,,
T280,Levi Wallace,DEN,CB,-,-,-,-,,,,
T280,Kyle Peko,DET,DT,-,-,-,-,,,,
T280,Ben Niemann,DET,LB,-,-,-,-,,,,
T280,Martez Carter,FA,RB,-,-,-,-,,,,
T280,Parker Hesse,DET,TE,-,-,-,-,,,,
T280,Takk McKinley,NYJ,DE,-,-,-,-,,,,
T280,Vyncint Smith,FA,WR,-,-,-,-,,,,
T280,Sammis Reyes,MIN,TE,-,-,-,-,,,,
T280,Derick Roberson,FA,LB,-,-,-,-,,,,
T280,Marcus Davenport,DET,LB,-,-,-,-,,,,
T280,Kevin Strong,FA,DE,-,-,-,-,,,,
T280,Dalton Sturm,FA,QB,-,-,-,-,,,,
T280,Logan Cooke,JAX,P,-,-,-,-,,,,
T280,J.T. Gray,NO,S,-,-,-,-,,,,
T280,Gerri Green,FA,LB,-,-,-,-,,,,
T280,Braxton Hoyett,FA,DT,-,-,-,-,,,,
T280,Joel Iyiegbuniwe,FA,LB,-,-,-,-,,,,
T280,Kendall Blanton,FA,TE,-,-,-,-,,,,
T280,Patrick Laird,FA,RB,-,-,-,-,,,,
T280,Shay Fields,FA,WR,-,-,-,-,,,,
T280,Chris Lammons,IND,CB,-,-,-,-,,,PUP-P,Foot
T280,Kamryn Pettway,FA,FB,-,-,-,-,,,,
T280,J.C. Jackson,FA,CB,-,-,-,-,,,,
T280,Quincy Wilson,FA,CB,-,-,-,-,,,,
T280,Stanley Williams,FA,RB,-,-,-,-,,,,
T280,Dorian Baker,FA,WR,-,-,-,-,,,,
T280,Garrett Johnson,FA,WR,-,-,-,-,,,,
T280,Colin Jeter,FA,TE,-,-,-,-,,,,
T280,Chris Lacy,FA,WR,-,-,-,-,,,Ques,Undisclosed
T280,James Washington,FA,WR,-,-,-,-,,,,
T280,Poona Ford,LAC,DT,-,-,-,-,,,,
T280,Taylor Stallworth,FA,DT,-,-,-,-,,,,
T280,Royce Freeman,DAL,RB,-,-,-,-,0.81,5.71,,
T280,Rashaan Evans,FA,LB,-,-,-,-,,,,
T280,Da'Shawn Hand,MIA,DT,-,-,-,-,,,,
T280,Marlon Humphrey,BAL,CB,-,-,-,-,,,,
T280,JK Scott,LAC,P,-,-,-,-,,,,
T280,Myles Garrett,CLE,DE,-,-,-,-,,,Ques,Hamstring
T280,Cullen Gillaspia,FA,LB,-,-,-,-,,,Ques,Knee
T280,Donovan Wilson,DAL,S,-,-,-,-,,,,
T280,Khari Blasingame,CHI,RB,-,-,-,-,,,,
T280,Tre Herndon,NYG,CB,-,-,-,-,,,,
T280,Caleb Scott,FA,WR,-,-,-,-,,,,
T280,Trent Sherfield,MIN,WR,-,-,-,-,,,,
