"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Travis Homer","CHI","2.3","32.3","0.0","3.1","22.1","0.1","0.0","9.0"
"DeeJay Dallas","ARI","2.5","28.0","0.0","3.5","24.0","0.0","0.0","8.7"
"Patrick Ricard","BAL","2.7","10.9","0.0","3.7","26.2","0.2","0.0","8.5"
"Michael Burton","DEN","2.4","9.4","0.0","3.7","24.5","0.2","0.0","8.2"
"Adam Prentice","NO","3.3","14.0","0.1","3.3","23.1","0.1","0.0","8.1"
"Sione Vaki","DET","12.6","39.5","0.2","1.5","9.7","0.0","0.0","7.9"
"Patrick Taylor Jr.","SF","7.9","28.0","0.2","1.9","13.5","0.1","0.0","7.5"
"C.J. Ham","MIN","2.0","8.3","0.0","3.3","22.4","0.1","0.0","7.0"
"Keilan Robinson","JAC","0.0","33.0","0.0","2.0","15.0","0.0","0.0","6.8"
"Hassan Haskins","LAC","2.3","27.6","0.0","2.1","12.6","0.1","0.0","6.4"
"Keaontay Ingram","KC","0.0","30.0","0.0","2.0","10.0","0.0","0.0","6.0"
"Myles Gaskin","MIN","0.0","26.0","0.0","2.0","11.0","0.0","0.0","5.7"
"La'Mical Perine","GB","0.0","25.0","0.0","2.0","11.0","0.0","0.0","5.6"
"Tyrion Davis-Price","PHI","0.0","17.0","0.0","1.0","3.0","0.0","0.0","3.0"
""
""
