"Player","Team","REC","YDS","TDS","FL","FPTS"
"Johnny Mundt","MIN","19.4","185.9","1.2","0.0","45.3"
"Logan Thomas","SF","16.7","182.7","1.8","0.4","45.2"
"Brevin Jordan","HOU","14.7","188.0","1.9","0.0","44.7"
"Cade Stover","HOU","17.0","182.5","1.5","0.0","44.3"
"Robert Tonyan","MIN","18.5","177.5","1.3","0.0","44.0"
"Adam Trautman","DEN","16.8","162.7","1.5","0.0","42.1"
"Will Mallory","IND","15.9","167.2","1.3","0.0","40.6"
"Mo Alie-Cox","IND","13.8","155.6","1.8","0.0","40.3"
"Elijah Higgins","ARI","16.3","177.8","1.0","0.0","39.9"
"Brock Wright","DET","15.4","149.5","1.5","0.1","39.4"
"Jeremy Ruckert","NYJ","16.2","161.5","1.2","0.1","39.4"
"Austin Hooper","NE","17.1","163.5","0.9","0.0","38.9"
"Josh Oliver","MIN","15.2","149.6","1.2","0.4","36.5"
"Connor Heyward","PIT","15.3","137.8","0.7","0.0","33.4"
"Jack Stoll","NYG","14.1","129.8","0.9","0.0","32.7"
"Foster Moreau","NO","12.5","139.1","1.0","0.0","32.6"
"Davis Allen","LAR","13.1","134.3","1.0","0.0","32.6"
"Devin Culp","TB","13.0","135.0","1.0","0.0","32.5"
"Dallin Holker","NO","13.0","135.0","1.0","0.0","32.5"
"Tanner McLachlan","CIN","12.5","123.0","1.0","0.0","30.8"
"Pharaoh Brown","SEA","12.0","132.0","0.9","0.0","30.7"
"Trey Knox","MIN","12.0","125.0","1.0","0.0","30.5"
"Josh Whyle","TEN","12.2","127.4","0.8","0.0","29.8"
"Peyton Hendershot","DAL","11.6","117.8","1.0","0.0","29.4"
"AJ Barner","SEA","11.9","123.9","0.8","0.0","29.3"
"Darnell Washington","PIT","12.0","119.5","0.8","0.0","28.7"
"Luke Schoonmaker","DAL","10.8","111.2","1.1","0.0","28.2"
"Brayden Willis","SF","10.0","121.0","1.0","0.0","28.1"
"Cameron Latu","SF","10.0","121.0","1.0","0.0","28.1"
"Travis Vokolek","ARI","11.0","102.0","1.0","0.0","27.2"
"Stephen Sullivan","CAR","11.7","118.6","0.6","0.1","27.2"
"Ian Thomas","CAR","11.7","119.2","0.5","0.0","26.6"
"Irv Smith Jr.","KC","10.6","100.1","1.0","0.0","26.3"
"Eric Saubert","SF","10.0","99.0","1.0","0.0","25.9"
"Erick All Jr.","CIN","10.8","103.3","0.8","0.0","25.9"
"Drew Sample","CIN","11.2","98.0","0.8","0.0","25.8"
"Drew Ogletree","IND","10.1","107.3","0.8","0.1","25.3"
"Jordan Akins","CLE","10.2","100.8","0.8","0.1","25.2"
"La'Michael Pettway","NE","10.0","91.0","1.0","0.0","25.1"
"Brenton Strange","JAC","9.7","92.0","1.0","0.0","24.9"
"Tip Reiman","ARI","10.2","99.2","0.8","0.0","24.9"
