"Player","Team","REC","YDS","TDS","FL","FPTS"
"Theo Johnson","NYG","28.3","273.7","1.8","0.6","37.0"
"Jelani Woods","IND","22.7","264.1","1.8","0.1","36.8"
"Gerald Everett","CHI","25.7","241.6","1.8","0.1","35.0"
"Kylen Granson","IND","23.8","258.6","1.5","0.0","34.8"
"Noah Gray","KC","23.0","241.2","1.7","0.1","34.5"
"Tanner Hudson","CIN","23.9","229.5","1.7","0.1","33.1"
"Brevin Jordan","HOU","14.7","188.0","1.9","0.0","30.0"
"Will Dissly","LAC","22.2","212.6","1.4","0.1","29.6"
"Logan Thomas","SF","16.7","182.7","1.8","0.4","28.5"
"Will Mallory","IND","18.8","192.8","1.5","0.0","28.3"
"Cade Stover","HOU","17.0","182.5","1.5","0.0","27.3"
"Durham Smythe","MIA","19.8","190.3","1.3","0.0","26.6"
"Mo Alie-Cox","IND","13.8","155.6","1.8","0.0","26.6"
"Johnny Mundt","MIN","19.4","185.9","1.2","0.0","25.9"
"Robert Tonyan","MIN","18.5","177.5","1.3","0.0","25.5"
"Adam Trautman","DEN","16.8","162.6","1.5","0.0","25.3"
"Brock Wright","DET","15.4","149.5","1.5","0.1","24.1"
"Elijah Higgins","ARI","16.3","177.9","1.0","0.0","23.6"
"Jeremy Ruckert","NYJ","16.2","161.4","1.2","0.1","23.2"
"Austin Hooper","NE","17.1","163.6","0.9","0.0","21.9"
"Josh Oliver","MIN","15.2","149.7","1.2","0.4","21.3"
"Davis Allen","LAR","14.1","144.9","1.1","0.0","21.2"
"Foster Moreau","NO","12.4","138.8","1.0","0.0","20.1"
"Stephen Sullivan","CAR","14.3","146.8","0.8","0.0","19.5"
"Devin Culp","TB","13.0","135.0","1.0","0.0","19.5"
"Izaiah Gathings","KC","13.0","129.0","1.0","0.0","18.9"
"Pharaoh Brown","SEA","12.0","132.0","0.9","0.0","18.7"
"Jack Stoll","NYG","14.1","129.8","0.9","0.0","18.6"
"Trey Knox","MIN","12.0","125.0","1.0","0.0","18.5"
"Dallin Holker","NO","12.0","124.0","1.0","0.0","18.4"
"Tanner McLachlan","CIN","12.5","123.5","1.0","0.0","18.4"
"Brayden Willis","SF","10.0","121.0","1.0","0.0","18.1"
"Cameron Latu","SF","10.0","121.0","1.0","0.0","18.1"
"Connor Heyward","PIT","15.3","137.7","0.7","0.0","18.1"
"Peyton Hendershot","DAL","11.6","117.8","1.0","0.0","17.8"
"Luke Schoonmaker","DAL","10.8","111.2","1.1","0.0","17.5"
"AJ Barner","SEA","11.9","123.9","0.8","0.0","17.4"
"Teagan Quitoriano","HOU","6.5","100.6","1.1","0.0","16.6"
"Josh Whyle","TEN","11.9","125.3","0.7","0.0","16.4"
"Darnell Washington","PIT","11.2","112.1","0.9","0.0","16.3"
"Travis Vokolek","ARI","11.0","102.0","1.0","0.0","16.2"
"Eric Saubert","SF","10.0","98.0","1.0","0.0","15.8"
"Irv Smith Jr.","KC","10.6","100.1","1.0","0.0","15.7"
"Ross Dwelley","ATL","8.1","105.5","0.8","0.0","15.5"
"Jordan Akins","CLE","10.4","102.3","0.9","0.0","15.4"
"Drew Ogletree","IND","10.1","107.3","0.8","0.1","15.3"
"Brenton Strange","JAC","9.7","92.0","1.0","0.0","15.2"
"Erick All Jr.","CIN","10.8","103.8","0.8","0.0","15.2"
"Tip Reiman","ARI","10.2","99.2","0.8","0.0","14.7"
"Jared Wiley","KC","9.6","98.8","0.8","0.0","14.6"
"Stone Smartt","LAC","8.7","99.2","0.8","0.0","14.5"
