,Player,Pos,Team,PASS ATT,PASS CMP,PASS YDS,PASS TD,INTS,RUSH ATT,RUSH YDS,RUSH TD,REC YDS,REC TD,FL
139,Marcus Rosemy-Jacksaint,WR,WAS,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,126.0,1.0,0.0
140,Derius Davis,WR,LAC,0.0,0.0,0.0,0.0,0.0,6.7,38.6,0.1,106.5,0.7,0.1
141,Mecole Hardman Jr.,WR,KC,0.0,0.0,0.0,0.0,0.0,0.0,18.5,0.0,125.5,0.7,0.0
142,Ainias Smith,WR,PHI,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,128.2,0.9,0.0
143,Quez Watkins,WR,PIT,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,137.3,0.7,0.0
144,Kadarius Toney,WR,KC,0.0,0.0,0.0,0.0,0.0,7.5,44.3,0.2,87.1,0.6,0.1
145,Chris Moore,WR,ARI,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,134.1,0.6,0.0
146,Jordan Whittington,WR,LAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.1,0.8,0.1
147,David Bell,WR,CLE,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,131.6,0.7,0.0
148,Ray-Ray McCloud III,WR,ATL,0.0,0.0,0.0,0.0,0.0,2.4,15.5,0.1,106.0,0.8,0.1
149,Parris Campbell,WR,PHI,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,123.9,0.8,0.1
150,Johnny Wilson,WR,PHI,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,121.4,0.7,0.0
151,Trent Sherfield Sr.,WR,MIN,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,121.6,0.7,0.0
152,Olamide Zaccheaus,WR,WAS,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,118.7,0.7,0.0
153,Chase Claypool,WR,BUF,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,111.7,0.8,0.0
154,Donovan Peoples-Jones,WR,DET,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,120.1,0.7,0.0
