"Rank","Player","Team","Bye","POS","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"406","Max Duggan","","","QB55","282","","865","","","573.5"
"407","Tanner Hudson","CIN","12","TE57","423","","361","","","392.0"
"408","Anthony Brown Jr.","","","QB56","283","","538","","","410.5"
"409","Anthony McFarland Jr.","","","RB93","","283","831","","","557.0"
"410","Dylan McDuffie","","","RB94","","284","","","","284.0"
"411","Josh Pederson","","","TE58","285","","","","","285.0"
"412","Matt Ryan","","","QB57","286","","","","","286.0"
"413","C.J. Ham","MIN","6","RB95","305","","482","","","393.5"
"414","Andy Dalton","CAR","11","QB58","352","","436","","","394.0"
"415","MyCole Pruitt","PIT","9","TE59","","288","567","","","427.5"
"416","Derius Davis","LAC","5","WR129","289","","749","","","519.0"
"417","Jon Hilliman","","","RB96","","290","","","","290.0"
"418","Josh Lambo","","","K44","291","","","","","291.0"
"419","Jazz Ferguson","","","WR130","","291","","","","291.0"
"420","Jalen Virgil","BUF","12","WR131","","292","","","","292.0"
"421","Adam Trautman","DEN","14","TE60","292","","511","","","401.5"
"422","Alec Pierce","IND","14","WR132","447","","347","","","397.0"
"423","Jhamon Ausbon","","","WR133","","294","","","","294.0"
"424","James White","","","RB97","","296","","","","296.0"
"425","Jalen Brooks","DAL","7","WR134","297","","548","","","422.5"
"426","Eddy Pineiro","CAR","11","K45","","","298","","","298.0"
"427","Derek Watt","","","RB98","299","","","","","299.0"
"428","Matt Barkley","","","QB59","300","","","","","300.0"
"429","Eric Tomlinson","LAC","5","TE61","","300","575","","","437.5"
"430","J.D. McKissic","","","RB99","","301","","","","301.0"
"431","Van Jefferson","PIT","9","WR135","","","302","","","302.0"
"432","Ronnie Bell","SF","9","WR136","378","","426","","","402.0"
"433","Kalif Raymond","DET","5","WR137","","","304","","","304.0"
"434","Armani Rogers","","","TE62","304","","709","","","506.5"
"435","Corey Clement","","","RB100","","305","","","","305.0"
"436","Nick Foles","","","QB60","306","","","","","306.0"
"437","Patrick Ricard","BAL","14","RB101","320","","487","","","403.5"
"438","Austin Hooper","NE","14","TE63","368","","439","","","403.5"
"439","Kyle Allen","PIT","9","QB61","396","","411","","","403.5"
"440","Lucky Jackson","MIN","6","WR138","337","","471","","","404.0"
"441","Matthew Wright","","","K46","444","","364","","","404.0"
"442","Grant Calcaterra","PHI","5","TE64","308","","533","","","420.5"
"443","Byron Pringle","WAS","14","WR139","309","","798","","","553.5"
"444","Peter LeBlanc","","","WR140","","310","","","","310.0"
"445","Michael Gallup","","","WR141","","","311","","","311.0"
"446","Eli Stove","","","WR142","","312","","","","312.0"
"447","Jeff Wilson Jr.","MIA","6","RB102","468","","345","","","406.5"
"448","Tommy Tremble","CAR","11","TE65","364","","449","","","406.5"
"449","Irv Smith Jr.","","","TE66","312","","502","","","407.0"
"450","Caleb Huntley","","","RB103","","313","","","","313.0"
"451","Nick Sciba","","","K47","313","","","","","313.0"
"452","Calvin Austin III","PIT","9","WR143","","","314","","","314.0"
"453","Clayton Thorson","","","QB62","","316","","","","316.0"
"454","Binjimen Victor","","","WR144","316","","","","","316.0"
"455","Deneric Prince","MIA","6","RB104","441","","379","","","410.0"
"456","Tim Patrick","DET","5","WR145","","","320","","","320.0"
"457","Leonard Fournette","","","RB105","321","","","","","321.0"
"458","Cole McDonald","","","QB63","","321","","","","321.0"
"459","Peyton Hendershot","KC","6","TE67","401","","422","","","411.5"
"460","Jashaun Corbin","","","RB106","322","","858","","","590.0"
"461","Patrick Taylor Jr.","SF","9","RB107","323","","508","","","415.5"
"462","Malcolm Brown","","","RB108","","324","","","","324.0"
"463","AJ Barner","SEA","10","TE68","438","","390","","","414.0"
"464","Britain Covey","PHI","5","WR146","327","","534","","","430.5"
"465","Tylan Wallace","BAL","14","WR147","328","","516","","","422.0"
"466","Parris Campbell","PHI","5","WR148","417","","413","","","415.0"
"467","Nelson Agholor","BAL","14","WR149","","","330","","","330.0"
"468","Pharaoh Brown","SEA","10","TE69","389","","442","","","415.5"
"469","Jacoby Brissett","NE","14","QB64","","","331","","","331.0"
"470","Sione Vaki","DET","5","RB109","331","","781","","","556.0"
"471","Israel Abanikanda","NYJ","12","RB110","434","","399","","","416.5"
"472","Drew Sample","CIN","12","TE70","332","","619","","","475.5"
"473","Michael Wiley","WAS","14","RB111","333","","","","","333.0"
"474","Skylar Thompson","MIA","6","QB65","335","","702","","","518.5"
"475","Treylon Burks","TEN","5","WR150","","","336","","","336.0"
"476","Velus Jones Jr.","CHI","7","WR151","336","","524","","","430.0"
"477","Jha'Quan Jackson","TEN","5","WR152","338","","897","","","617.5"
"478","Carson Strong","","","QB66","341","","","","","341.0"
"479","Keaontay Ingram","KC","6","RB112","495","","348","","","421.5"
"480","Noah Brown","WAS","14","WR153","439","","406","","","422.5"
"481","Ben DiNucci","","","QB67","345","","638","","","491.5"
"482","Stanley Berryhill","III","","WR154","346","","","","","346.0"
"483","Jalen Nailor","MIN","6","WR155","347","","529","","","438.0"
"484","Charlie Jones","CIN","12","WR156","349","","546","","","447.5"
"485","Travis Homer","CHI","7","RB113","350","","615","","","482.5"
"486","Stetson Bennett","LAR","6","QB68","351","","552","","","451.5"
"487","Albert Okwuegbunam Jr.","PHI","5","TE71","353","","641","","","497.0"
"488","Robbie Gould","","","K48","354","","","","","354.0"
"489","Craig Reynolds","DET","5","RB114","","","354","","","354.0"
"490","Tutu Atwell","LAR","6","WR157","","","356","","","356.0"
"491","Marcedes Lewis","CHI","7","TE72","382","","475","","","428.5"
"492","Jake Funk","","","RB115","356","","517","","","436.5"
"493","Shane Zylstra","DET","5","TE73","","","357","","","357.0"
"494","Dante Pettis","CHI","7","WR158","357","","593","","","475.0"
"495","Jordan Travis","NYJ","12","QB69","358","","787","","","572.5"
"496","Curtis Hodges","","","TE74","359","","","","","359.0"
"497","DeeJay Dallas","ARI","11","RB116","360","","513","","","436.5"
"498","Raheem Blackshear","CAR","11","RB117","361","","734","","","547.5"
"499","Ty Johnson","BUF","12","RB118","","","362","","","362.0"
"500","Frank Gore Jr.","BUF","12","RB119","","","363","","","363.0"
"501","Brandon Allen","SF","9","QB70","383","","481","","","432.0"
"502","Sean Clifford","GB","10","QB71","367","","549","","","458.0"
"503","Chris Conley","SF","9","WR159","390","","479","","","434.5"
"504","Malik Heath","GB","10","WR160","402","","467","","","434.5"
"505","Roger Carter Jr.","","","TE75","370","","","","","370.0"
"506","Teddy Bridgewater","","","QB72","371","","","","","371.0"
"507","Alec Ingold","MIA","6","RB120","372","","","","","372.0"
"508","Kevin Harris","NE","14","RB121","478","","395","","","436.5"
"509","Mohamed Ibrahim","","","RB122","373","","","","","373.0"
"510","Sam Howell","SEA","10","QB73","","","373","","","373.0"
"511","Jake Browning","CIN","12","QB74","460","","414","","","437.0"
"512","Lil'Jordan Humphrey","DEN","14","WR161","374","","","","","374.0"
"513","Justyn Ross","KC","6","WR162","","","374","","","374.0"
"514","Will Mallory","IND","14","TE76","","","375","","","375.0"
"515","Caleb Shudak","","","K49","375","","","","","375.0"
"516","Ryan Flournoy","DAL","7","WR163","376","","779","","","577.5"
"517","Devaughn Vele","DEN","14","WR164","377","","780","","","578.5"
"518","Trey Palmer","TB","11","WR165","","","378","","","378.0"
"519","Kene Nwangwu","","","RB123","427","","452","","","439.5"
"520","Mack Hollins","BUF","12","WR166","440","","440","","","440.0"
"521","Samori Toure","CHI","7","WR167","379","","691","","","535.0"
"522","Michael Pratt","TB","11","QB75","380","","782","","","581.0"
"523","Dante Miller","NYG","11","RB124","381","","785","","","583.0"
"524","Ameer Abdullah","LV","10","RB125","","","383","","","383.0"
"525","Ryan Succop","","","K50","384","","","","","384.0"
"526","Marquez Valdes-Scantling","BUF","12","WR168","395","","491","","","443.0"
"527","Bryce Perkins","","","QB76","386","","","","","386.0"
"528","Jaheim Bell","NE","14","TE77","455","","432","","","443.5"
"529","Bailey Zappe","KC","6","QB77","387","","531","","","459.0"
"530","Kareem Hunt","","","RB126","388","","","","","388.0"
"531","Jarrett Stidham","DEN","14","QB78","","","388","","","388.0"
"532","Chase Allen","","","TE78","391","","","","","391.0"
"533","Mitchell Trubisky","BUF","12","QB79","410","","483","","","446.5"
"534","James Proche II","CLE","10","WR169","393","","634","","","513.5"
"535","Trishton Jackson","MIN","6","WR170","394","","510","","","452.0"
"536","Robbie Chosen","MIA","6","WR171","397","","578","","","487.5"
"537","Gunner Olszewski","NYG","11","WR172","398","","631","","","514.5"
"538","Xavier Hutchinson","HOU","14","WR173","399","","741","","","570.0"
"539","Michael Thomas","","","WR174","400","","","","","400.0"
"540","Kenny McIntosh","SEA","10","RB127","","","400","","","400.0"
"541","Charlie Smyth","NO","12","K51","","","402","","","402.0"
"542","Scotty Washington","","","WR175","403","","820","","","611.5"
"543","Jonathan Garibay","","","K52","404","","","","","404.0"
"544","Boston Scott","PIT","9","RB128","409","","496","","","452.5"
"545","DeAndre Carter","CHI","7","WR176","405","","790","","","597.5"
"546","Trent Taylor","SF","9","WR177","406","","583","","","494.5"
"547","Johnny Mundt","MIN","6","TE79","","","407","","","407.0"
"548","Austin Seibert","","","K53","407","","620","","","513.5"
"549","Khari Blasingame","CHI","7","RB129","408","","809","","","608.5"
"550","Dare Ogunbowale","HOU","14","RB130","","","409","","","409.0"
"551","Ray-Ray McCloud III","ATL","12","WR178","","","410","","","410.0"
"552","Tre'Quan Smith","DET","5","WR179","411","","799","","","605.0"
"553","River Cracraft","MIA","6","WR180","412","","589","","","500.5"
"554","Hunter Renfrow","","","WR181","413","","","","","413.0"
"555","Allen Robinson II","DET","5","WR182","414","","563","","","488.5"
"556","Kellen Mond","","","QB80","415","","848","","","631.5"
"557","Justin Jackson","","","RB131","416","","","","","416.0"
"558","Kylen Granson","IND","14","TE80","","","417","","","417.0"
"559","Cornelius Johnson","LAC","5","WR183","418","","","","","418.0"
"560","Tom Kennedy","DET","5","WR184","419","","818","","","618.5"
"561","A.J. Green","","","WR185","420","","","","","420.0"
"562","James Turner","","","K54","","","421","","","421.0"
"563","Parker Washington","JAC","12","WR186","498","","424","","","461.0"
"564","Drew Ogletree","IND","14","TE81","421","","696","","","558.5"
"565","Devin Leary","BAL","14","QB81","422","","896","","","659.0"
"566","Hunter Long","LAR","6","TE82","424","","672","","","548.0"
"567","Jerick McKinnon","","","RB132","425","","","","","425.0"
"568","Malik Willis","GB","10","QB82","426","","694","","","560.0"
"569","Colson Yankoff","WAS","14","TE83","","","427","","","427.0"
"570","D","","'Vonte Price","","","RB133","428","","","","","428.0"
"571","Emanuel Wilson","GB","10","RB134","","","429","","","429.0"
"572","Deonte Harty","BAL","14","WR187","429","","628","","","528.5"
"573","Emari Demercado","ARI","11","RB135","","","430","","","430.0"
"574","Jeremy Ruckert","NYJ","12","TE84","430","","532","","","481.0"
"575","Josh Johnson","BAL","14","QB83","431","","560","","","495.5"
"576","Snoop Conner","","","RB136","432","","697","","","564.5"
"577","James McCourt","","","K55","433","","","","","433.0"
"578","Ryan Tannehill","","","QB84","461","","476","","","468.5"
"579","Case Keenum","HOU","14","QB85","436","","562","","","499.0"
"580","Benny Snell Jr.","","","RB137","437","","","","","437.0"
"581","Jameis Winston","CLE","10","QB86","","","438","","","438.0"
"582","Jalen Wydermyer","","","TE85","442","","","","","442.0"
"583","Cole Fotheringham","HOU","14","TE86","443","","","","","443.0"
"584","Drew Lock","NYG","11","QB87","","","444","","","444.0"
"585","Donald Parham Jr.","DEN","14","TE87","","","445","","","445.0"
"586","Brenton Strange","JAC","12","TE88","445","","551","","","498.0"
"587","KJ Hamler","BUF","12","WR188","","","446","","","446.0"
"588","Quez Watkins","PIT","9","WR189","","","447","","","447.0"
"589","Nick Westbrook-Ikhine","TEN","5","WR190","","","448","","","448.0"
"590","Scotty Miller","PIT","9","WR191","448","","624","","","536.0"
"591","Jamari Thrash","CLE","10","WR192","449","","559","","","504.0"
"592","Lucas Krull","DEN","14","TE89","450","","543","","","496.5"
"593","Dez Fitzpatrick","","","WR193","","","451","","","451.0"
"594","Charlie Woerner","ATL","12","TE90","451","","652","","","551.5"
"595","Mark Ingram","II","","RB138","452","","","","","452.0"
"596","Tyquan Thornton","NE","14","WR194","453","","703","","","578.0"
"597","Michael Carter","ARI","11","RB139","","","454","","","454.0"
"598","Zach Pascal","ARI","11","WR195","454","","585","","","519.5"
"599","David Bell","CLE","10","WR196","","","455","","","455.0"
"600","Darrynton Evans","BUF","12","RB140","456","","822","","","639.0"
"601","Jimmy Graham","","","TE91","457","","","","","457.0"
"602","Malik Davis","DAL","7","RB141","","","457","","","457.0"
"603","Brayden Narveson","GB","10","K56","","","458","","","458.0"
"604","Jacob Cowing","SF","9","WR197","458","","528","","","493.0"
"605","Melvin Gordon","III","","RB142","459","","","","","459.0"
"606","Samson Nacua","","","WR198","","","459","","","459.0"
"607","Ronnie Rivers","LAR","6","RB143","","","460","","","460.0"
"608","Cedric Tillman","CLE","10","WR199","","","461","","","461.0"
"609","Zach Evans","","","RB144","","","462","","","462.0"
"610","Tejhaun Palmer","ARI","11","WR200","462","","","","","462.0"
"611","Joe Reed","","","WR201","463","","","","","463.0"
"612","Chris Rodriguez Jr.","WAS","14","RB145","","","463","","","463.0"
"613","Owen Wright","BAL","14","RB146","","","464","","","464.0"
"614","Charlie Kolar","BAL","14","TE92","464","","687","","","575.5"
"615","Jake Tonges","SF","9","TE93","465","","689","","","577.0"
"616","Duece Watts","","","WR202","","","466","","","466.0"
"617","Russell Gage","","","WR203","467","","600","","","533.5"
"618","Xavier Gipson","NYJ","12","WR204","","","468","","","468.0"
"619","Chris Brooks","","","RB147","","","469","","","469.0"
"620","Isaiah Williams","DET","5","WR205","469","","699","","","584.0"
"621","Sean Tucker","TB","11","RB148","","","470","","","470.0"
"622","Brandon Bolden","","","RB149","471","","561","","","516.0"
"623","Jase McClellan","ATL","12","RB150","","","472","","","472.0"
"624","Kayshon Boutte","NE","14","WR206","472","","745","","","608.5"
"625","Matt Ammendola","","","K57","473","","","","","473.0"
"626","Tyrod Taylor","NYJ","12","QB88","","","474","","","474.0"
"627","Steven Sims Jr.","HOU","14","WR207","474","","814","","","644.0"
"628","DeVante Parker","","","WR208","","","477","","","477.0"
"629","Myles Gaskin","MIN","6","RB151","477","","604","","","540.5"
"630","C.J. Uzomah","","","TE94","","","478","","","478.0"
"631","Hunter Luepke","DAL","7","RB152","479","","759","","","619.0"
"632","Sterling Shepard","TB","11","WR209","","","480","","","480.0"
"633","Martavis Bryant","","","WR210","480","","564","","","522.0"
"634","Laquon Treadwell","IND","14","WR211","481","","","","","481.0"
"635","Luke Farrell","JAC","12","TE95","482","","668","","","575.0"
"636","Matt Bushman","","","TE96","483","","","","","483.0"
"637","Isaiah McKenzie","NYG","11","WR212","","","484","","","484.0"
"638","Eric Saubert","SF","9","TE97","484","","581","","","532.5"
"639","P.J. Walker","","","QB89","","","485","","","485.0"
"640","John Bates","WAS","14","TE98","485","","521","","","503.0"
"641","Matt Breida","","","RB153","","","486","","","486.0"
"642","Kwamie Lassiter","II","","WR213","486","","","","","486.0"
"643","Davis Mills","HOU","14","QB90","487","","666","","","576.5"
"644","Damien Harris","","","RB154","488","","","","","488.0"
"645","Devin Culp","TB","11","TE99","","","488","","","488.0"
"646","Royce Freeman","","","RB155","","","489","","","489.0"
"647","Desmond Ridder","ARI","11","QB91","489","","685","","","587.0"
"648","Nyheim Hines","CLE","10","RB156","","","490","","","490.0"
"649","Xavier Weaver","ARI","11","WR214","490","","712","","","601.0"
"650","Randy Bullock","","","K58","491","","","","","491.0"
"651","Cedrick Wilson Jr.","NO","12","WR215","","","492","","","492.0"
"652","Michael Burton","DEN","14","RB157","492","","572","","","532.0"
"653","Jordan Akins","CLE","10","TE100","","","493","","","493.0"
"654","Blake Watson","DEN","14","RB158","493","","612","","","552.5"
"655","Joshua Kelley","","","RB159","494","","832","","","663.0"
"656","Will Dissly","LAC","5","TE101","","","495","","","495.0"
"657","Ronald Jones","II","","RB160","496","","","","","496.0"
"658","Trent Sherfield Sr.","MIN","6","WR216","","","497","","","497.0"
"659","Nsimba Webster","CHI","7","WR217","497","","817","","","657.0"
"660","Foster Moreau","NO","12","TE102","","","498","","","498.0"
"661","Harrison Mevis","","","K59","","","499","","","499.0"
"662","Mike White","BUF","12","QB92","499","","598","","","548.5"
"663","Rex Burkhead","","","RB161","500","","","","","500.0"
"664","Trayveon Williams","CIN","12","RB162","","","500","","","500.0"
"665","Terique Owens","","","WR218","","","501","","","501.0"
"666","Olamide Zaccheaus","WAS","14","WR219","","","503","","","503.0"
"667","Devin Duvernay","JAC","12","WR220","","","505","","","505.0"
"668","Isaiah Hodgins","NYG","11","WR221","","","506","","","506.0"
"669","Harrison Bryant","LV","10","TE103","","","507","","","507.0"
"670","Laviska Shenault Jr.","SEA","10","WR222","","","509","","","509.0"
"671","Salvon Ahmed","","","RB163","","","512","","","512.0"
"672","Reggie Gilliam","BUF","12","RB164","","","514","","","514.0"
"673","Kenny Yeboah","NYJ","12","TE104","","","515","","","515.0"
"674","Ian Book","","","QB93","","","518","","","518.0"
"675","Tre","","' McKitty","","","TE105","","","519","","","519.0"
"676","Dee Eskridge","MIA","6","WR223","","","520","","","520.0"
"677","John FitzPatrick","ATL","12","TE106","","","523","","","523.0"
"678","Montrell Washington","KC","6","WR224","","","525","","","525.0"
"679","James Mitchell","DET","5","TE107","","","526","","","526.0"
"680","Tyler Goodson","IND","14","RB165","","","527","","","527.0"
"681","Pierre Strong Jr.","CLE","10","RB166","","","530","","","530.0"
"682","Chris Oladokun","","","QB94","","","535","","","535.0"
"683","Danny Gray","","","WR225","","","536","","","536.0"
"684","Dareke Young","SEA","10","WR226","","","537","","","537.0"
"685","Spencer Shrader","IND","14","K60","","","539","","","539.0"
"686","Brandon Johnson","PIT","9","WR227","","","540","","","540.0"
"687","Tyreik McAllister","LV","10","RB167","","","541","","","541.0"
"688","Isaiah Wooden","","","WR228","","","542","","","542.0"
"689","John Parker Romo","","","K61","","","544","","","544.0"
"690","Dorian Thompson-Robinson","CLE","10","QB95","","","547","","","547.0"
"691","Josh Whyle","TEN","5","TE108","","","550","","","550.0"
"692","Cameron Latu","CLE","10","TE109","","","554","","","554.0"
"693","E.J. Jenkins","PHI","5","TE110","","","555","","","555.0"
"694","Hassan Hall","","","RB168","","","556","","","556.0"
"695","Princeton Fant","DAL","7","TE111","","","557","","","557.0"
"696","Tre","","'Shaun Harrison","","","WR229","","","558","","","558.0"
"697","Logan Thomas","","","TE112","","","565","","","565.0"
"698","Willie Snead","IV","","WR230","","","566","","","566.0"
"699","Jamison Crowder","WAS","14","WR231","","","568","","","568.0"
"700","Phillip Dorsett","II","","WR232","","","569","","","569.0"
"701","Marcus Mariota","WAS","14","QB96","","","570","","","570.0"
"702","Chris Manhertz","NYG","11","TE113","","","571","","","571.0"
"703","Dayton Wade","BAL","14","WR233","","","573","","","573.0"
"704","Taylor Heinicke","LAC","5","QB97","","","574","","","574.0"
"705","Chris Moore","ARI","11","WR234","","","576","","","576.0"
"706","Jeff Driskel","WAS","14","QB98","","","577","","","577.0"
"707","C.J. Beathard","","","QB99","","","579","","","579.0"
"708","John Ross","","","WR235","","","580","","","580.0"
"709","Nathan Peterman","","","QB100","","","582","","","582.0"
"710","Tarik Cohen","","","RB169","","","584","","","584.0"
"711","Anthony Firkser","NYJ","12","TE114","","","586","","","586.0"
"712","Nick Mullens","MIN","6","QB101","","","587","","","587.0"
"713","Robert Tonyan","MIN","6","TE115","","","588","","","588.0"
"714","Daurice Fountain","","","WR236","","","590","","","590.0"
"715","Godwin Igwebuike","","","RB170","","","592","","","592.0"
"716","Mason Rudolph","TEN","5","QB102","","","594","","","594.0"
"717","Ian Thomas","CAR","11","TE116","","","595","","","595.0"
"718","James Washington","","","WR237","","","596","","","596.0"
"719","David Wells","","","TE117","","","597","","","597.0"
"720","Logan Woodside","CIN","12","QB103","","","599","","","599.0"
"721","Mike Boone","CAR","11","RB171","","","601","","","601.0"
"722","KhaDarel Hodge","ATL","12","WR238","","","602","","","602.0"
"723","John Wolford","","","QB104","","","603","","","603.0"
"724","Emani Bailey","","","RB172","","","605","","","605.0"
"725","Jack Westover","","","TE118","","","607","","","607.0"
"726","Tyree Jackson","","","TE119","","","608","","","608.0"
"727","Stanley Morgan Jr.","","","WR239","","","609","","","609.0"
"728","Andrew Beck","GB","10","TE120","","","610","","","610.0"
"729","Miles Boykin","NYG","11","WR240","","","611","","","611.0"
"730","Zach Gentry","","","TE121","","","613","","","613.0"
"731","N'Keal Harry","MIN","6","WR241","","","614","","","614.0"
"732","David Martin-Robinson","TEN","5","TE122","","","616","","","616.0"
"733","Trey Knox","MIN","6","TE123","","","617","","","617.0"
"734","Brett Rypien","MIN","6","QB105","","","618","","","618.0"
"735","Easton Stick","LAC","5","QB106","","","621","","","621.0"
"736","Kedon Slovis","HOU","14","QB107","","","622","","","622.0"
"737","Ahmarean Brown","","","WR242","","","623","","","623.0"
"738","Jakob Johnson","NYG","11","RB173","","","625","","","625.0"
"739","Tyron Billy-Johnson","","","WR243","","","626","","","626.0"
"740","Stephen Carlson","CHI","7","TE124","","","627","","","627.0"
"741","Alex Hale","GB","10","K62","","","629","","","629.0"
"742","D'Ernest Johnson","JAC","12","RB174","","","630","","","630.0"
"743","Derrick Gore","","","RB175","","","632","","","632.0"
"744","Tyler Huntley","","","QB108","","","633","","","633.0"
"745","Jake Fromm","DET","5","QB109","","","635","","","635.0"
"746","Jacques Patrick","","","RB176","","","637","","","637.0"
"747","Sean McKeon","IND","14","TE125","","","639","","","639.0"
"748","Tyrie Cleveland","","","WR244","","","640","","","640.0"
"749","Josiah Deguara","JAC","12","TE126","","","642","","","642.0"
"750","Collin Johnson","CHI","7","WR245","","","643","","","643.0"
"751","James Robinson","","","RB177","","","644","","","644.0"
"752","Easop Winston Jr.","SEA","10","WR246","","","645","","","645.0"
"753","Dan Chisena","ARI","11","WR247","","","646","","","646.0"
"754","Denzel Mims","","","WR248","","","647","","","647.0"
"755","La'Mical Perine","GB","10","RB178","","","648","","","648.0"
"756","Jalen Reagor","NE","14","WR249","","","649","","","649.0"
"757","Jonathan Ward","PIT","9","RB179","","","650","","","650.0"
"758","JaMycal Hasty","NE","14","RB180","","","651","","","651.0"
"759","Tyler Mabry","SEA","10","TE127","","","653","","","653.0"
"760","Freddie Swain","","","WR250","","","654","","","654.0"
"761","Ke'Shawn Vaughn","SF","9","RB181","","","655","","","655.0"
"762","Marquez Callaway","","","WR251","","","656","","","656.0"
"763","Kristian Wilkerson","LV","10","WR252","","","657","","","657.0"
"764","Lawrence Cager","NYG","11","WR253","","","658","","","658.0"
"765","Spencer Brown","","","RB182","","","659","","","659.0"
"766","Deon Jackson","","","RB183","","","660","","","660.0"
"767","Tim Jones","JAC","12","WR254","","","661","","","661.0"
"768","DJ Turner","LV","10","WR255","","","662","","","662.0"
"769","Mathew Sexton","","","WR256","","","663","","","663.0"
"770","Sammis Reyes","MIN","6","TE128","","","664","","","664.0"
"771","Terrace Marshall Jr.","SF","9","WR257","","","665","","","665.0"
"772","Sam Ehlinger","IND","14","QB110","","","667","","","667.0"
"773","Cornell Powell","","","WR258","","","669","","","669.0"
"774","Jacob Harris","","","TE129","","","670","","","670.0"
"775","Ben Skowronek","PIT","9","WR259","","","671","","","671.0"
"776","Zach Davidson","BUF","12","TE130","","","673","","","673.0"
"777","Ihmir Smith-Marsette","","","WR260","","","674","","","674.0"
"778","Kawaan Baker","","","WR261","","","675","","","675.0"
"779","Kyle Trask","TB","11","QB111","","","676","","","676.0"
"780","Quintin Morris","BUF","12","TE131","","","677","","","677.0"
"781","Adam Prentice","NO","12","RB184","","","678","","","678.0"
"782","Jack Stoll","PHI","5","TE132","","","679","","","679.0"
"783","Chris Collier","BAL","14","RB185","","","680","","","680.0"
"784","Austin Watkins Jr.","","","WR262","","","681","","","681.0"
"785","Jaret Patterson","LAC","5","RB186","","","682","","","682.0"
"786","Kobe Lewis","","","RB187","","","683","","","683.0"
"787","George Holani","SEA","10","RB188","","","684","","","684.0"
"788","Tyler Badie","DEN","14","RB189","","","686","","","686.0"
"789","Baylor Cupp","KC","6","TE133","","","688","","","688.0"
"790","Michael Woods II","CLE","10","WR263","","","690","","","690.0"
"791","Dee Williams","SEA","10","WR264","","","692","","","692.0"
"792","Jarveon Howard","","","RB190","","","693","","","693.0"
"793","Nikola Kalinic","LAR","6","TE134","","","695","","","695.0"
"794","Ian Wheeler","CHI","7","RB191","","","698","","","698.0"
"795","Brittain Brown","","","RB192","","","700","","","700.0"
"796","Erik Ezukanma","MIA","6","WR265","","","701","","","701.0"
"797","Zonovan Knight","","","RB193","","","704","","","704.0"
"798","Zander Horvath","","","RB194","","","705","","","705.0"
"799","Isaiah Spiller","","","RB195","","","706","","","706.0"
"800","Tyrion Davis-Price","PHI","5","RB196","","","707","","","707.0"
"801","Jalon Calhoun","","","WR266","","","708","","","708.0"
"802","Thomas Yassmin","DEN","14","TE135","","","710","","","710.0"
"803","Austin Reed","CHI","7","QB112","","","711","","","711.0"
"804","Kyle Sheets","","","WR267","","","713","","","713.0"
"805","Kyric McGowan","","","WR268","","","714","","","714.0"
"806","John Rhys Plumlee","JAC","12","QB113","","","715","","","715.0"
"807","Jude McAtamney","NYG","11","K63","","","716","","","716.0"
"808","Austin Jones","","","RB197","","","717","","","717.0"
"809","Marcus Rosemy-Jacksaint","PHI","5","WR269","","","718","","","718.0"
"810","Cody Schrader","LAR","6","RB198","","","719","","","719.0"
"811","Jason Bean","IND","14","QB114","","","720","","","720.0"
"812","Julius Chestnut","TEN","5","RB199","","","721","","","721.0"
"813","Jack Plummer","CAR","11","QB115","","","722","","","722.0"
"814","Elijah Collins","","","RB200","","","723","","","723.0"
"815","British Brooks","HOU","14","RB201","","","724","","","724.0"
"816","Sincere McCormick","LV","10","RB202","","","725","","","725.0"
"817","Tanner Conner","MIA","6","TE136","","","726","","","726.0"
"818","Braylon Sanders","","","WR270","","","727","","","727.0"
"819","Chris Pierce Jr.","","","TE137","","","728","","","728.0"
"820","Nathaniel Peat","","","RB203","","","729","","","729.0"
"821","Tay Martin","SF","9","WR271","","","730","","","730.0"
"822","Deven Thompkins","","","WR272","","","731","","","731.0"
"823","Tucker Fisk","LAC","5","TE138","","","732","","","732.0"
"824","Rodney Williams","PIT","9","TE139","","","733","","","733.0"
"825","Daylen Baldwin","","","WR273","","","735","","","735.0"
"826","Maurice Alexander","","","WR274","","","736","","","736.0"
"827","Josh","Ali","","WR275","","","737","","","737.0"
"828","Justin Shorter","LV","10","WR276","","","738","","","738.0"
"829","Antoine Green","","","WR277","","","739","","","739.0"
"830","Lew Nichols","III","","RB204","","","740","","","740.0"
"831","Xavier Smith","LAR","6","WR278","","","743","","","743.0"
"832","Zack Kuntz","NYJ","12","TE140","","","746","","","746.0"
"833","Tanner McKee","PHI","5","QB116","","","747","","","747.0"
"834","Clayton Tune","ARI","11","QB117","","","748","","","748.0"
"835","Brayden Willis","SF","9","TE141","","","750","","","750.0"
"836","Payne Durham","TB","11","TE142","","","751","","","751.0"
"837","Travis Vokolek","ARI","11","TE143","","","752","","","752.0"
"838","Thyrick Pitts","","","WR279","","","753","","","753.0"
"839","Jason Brownlee","NYJ","12","WR280","","","754","","","754.0"
"840","Brady Russell","SEA","10","TE144","","","755","","","755.0"
"841","Nikko Remigio","KC","6","WR281","","","756","","","756.0"
"842","Jordan Mims","NO","12","RB205","","","757","","","757.0"
"843","Shedrick Jackson","CIN","12","WR282","","","758","","","758.0"
"844","John Stephens Jr.","DAL","7","WR283","","","760","","","760.0"
"845","Nate Adkins","DEN","14","TE145","","","761","","","761.0"
"846","Adrian Martinez","NYJ","12","QB118","","","762","","","762.0"
"847","Jared Wayne","","","WR284","","","763","","","763.0"
